X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,44,0.901,0.005,7.910,35.716,28.549,0.503,,,1.440,Bedrock
12,DDG_011,1,0.772,0.083,51.873,1.193,1.422,3.077,,7.382,,Limonite
,,2,0.875,0.088,50.781,1.229,1.230,2.627,,7.414,,Limonite
,,3,1.054,0.093,51.371,1.362,1.743,2.443,,6.537,,Limonite
,,4,1.190,0.099,52.482,1.540,1.210,3.003,,5.316,,Limonite
,,5,1.380,0.113,52.910,1.414,0.971,3.021,,5.563,,Limonite
,,6,1.455,0.106,52.718,1.558,1.308,3.012,,5.706,,Limonite
,,7,1.135,0.129,50.774,1.520,1.141,3.292,,6.494,,Limonite
,,8,1.596,0.122,49.763,1.534,1.047,3.037,,6.293,,Limonite
,,9,1.571,0.116,50.040,1.467,1.076,3.890,,6.297,,Limonite
,,10,1.310,0.099,50.642,1.454,1.244,3.427,,6.394,,Limonite
,,11,1.428,0.110,49.552,1.326,1.197,2.843,,7.015,,Limonite
,,12,1.489,0.108,50.708,1.447,0.965,3.179,,6.437,,Limonite
,,13,1.588,0.113,50.708,1.352,1.563,2.964,,6.720,,Limonite
,,14,1.409,0.126,51.538,1.622,1.142,2.970,,5.602,,Limonite
,,15,1.577,0.145,50.434,1.512,1.289,2.977,,5.607,,Limonite
,,16,1.286,0.127,49.712,1.489,1.197,3.326,,6.603,,Limonite
,,17,1.406,0.163,49.095,1.649,1.171,2.905,,,6.251,Limonite
,,18,1.169,0.126,49.204,1.647,1.238,3.682,,,6.874,Limonite
,,19,1.534,0.133,48.913,1.459,1.303,2.798,,,6.564,Limonite
,,20,1.399,0.109,48.926,2.853,1.413,3.039,,,7.479,Limonite
,,21,1.625,0.142,48.795,1.764,1.140,3.461,,,6.518,Limonite
,,22,1.645,0.130,49.448,1.885,1.173,3.764,,,6.038,Limonite
,,23,1.630,0.124,48.593,5.165,1.365,3.364,,,4.630,Limonite
,,24,1.390,0.122,45.361,8.114,1.796,2.280,,,6.649,Limonite
,,25,1.489,0.115,39.046,10.165,3.056,2.950,,,6.477,Limonite
,,26,1.876,0.044,18.155,30.562,17.910,1.224,,,3.162,Saprolite
,,27,1.668,0.034,15.630,31.473,15.900,0.953,,,2.945,Saprolite
,,27,1.203,0.055,20.596,29.230,10.321,0.992,,,3.069,Saprolite
,,28,0.330,0.003,7.514,33.003,31.162,0.514,,,1.455,Bedrock
,,29,0.766,0.009,8.943,33.859,27.318,0.588,,,1.808,Bedrock
,,30,0.847,0.006,8.365,35.268,28.069,0.551,,,1.685,Bedrock
,,31,1.692,0.006,6.635,48.372,22.102,0.408,,,1.293,Bedrock
,,32,0.568,0.004,7.468,35.258,33.437,0.272,,,0.971,Bedrock
,,33,0.265,0.004,7.576,31.649,35.223,0.247,,,0.887,Bedrock
,,34,0.257,0.003,7.417,32.744,34.903,0.320,,,1.045,Bedrock
,,35,0.222,0.002,7.237,35.738,34.254,0.466,,,1.590,Bedrock
13,DDG 012,1,0.658,0.087,47.985,1.339,0.328,3.495,,,10.092,Limonite
,,2,0.857,0.086,47.077,1.637,0.289,3.385,,,9.463,Limonite
,,3,1.215,0.090,47.278,2.014,0.403,3.382,,,8.637,Limonite
,,4,1.194,0.087,47.880,2.257,0.297,3.429,,,8.139,Limonite
,,5,1.216,0.088,47.437,2.118,0.006,2.905,,,8.101,Limonite
,,6,1.473,0.089,47.852,1.997,0.159,2.719,,,8.031,Limonite
,,7,1.201,0.094,46.895,2.160,0.244,3.928,,,8.253,Limonite
,,8,1.564,0.089,47.545,2.100,0.006,2.984,,,7.908,Limonite
,,9,1.319,0.113,45.832,1.952,0.129,3.136,,,8.898,Limonite
,,10,1.363,0.113,47.082,1.914,0.192,3.377,,,7.587,Limonite
,,11,1.640,0.128,46.541,1.948,0.219,2.579,,,6.974,Limonite
,,12,1.670,0.130,47.083,2.057,0.440,2.749,,,6.796,Limonite
,,13,1.880,0.109,47.164,2.117,0.341,3.070,,,7.267,Limonite
,,14,1.257,0.103,44.025,1.991,0.445,3.701,,,10.173,Limonite
,,15,1.553,0.093,42.952,2.159,0.535,4.554,,,10.143,Limonite
,,16,1.512,0.096,46.076,3.781,0.187,2.987,,,7.091,Limonite
,,17,1.443,0.107,46.418,2.734,0.525,3.507,,,8.557,Limonite
,,18,1.650,0.097,46.137,4.196,1.361,3.864,,,7.900,Limonite
,,19,1.632,0.106,44.822,4.866,1.282,4.004,,,8.241,Limonite
,,20,1.527,0.104,47.230,3.163,0.636,3.788,,,7.423,Limonite
,,21,1.455,0.100,46.975,3.795,0.627,3.402,,,6.668,Limonite
,,22,0.395,0.044,14.902,13.404,2.234,1.468,,,2.342,Saprolite
,,23,1.393,0.109,42.458,7.872,1.880,4.663,,,7.821,Saprolite
,,24,0.309,0.013,6.342,38.491,35.790,0.451,,,1.839,Saprolite
,,25,0.831,0.070,25.059,41.417,2.452,1.646,,,5.436,Saprolite
,,26,1.114,0.085,36.747,18.909,0.879,3.457,,,6.868,Saprolite
,,27,0.763,0.055,23.004,35.000,6.099,1.919,,,4.197,Saprolite
,,28,1.213,0.031,16.091,42.049,8.360,1.310,,,3.212,Saprolite
,,29,0.261,0.013,6.342,40.136,40.924,0.452,,,1.433,Saprolite
,,30,0.298,0.013,6.529,38.520,38.307,0.447,,,1.339,Saprolite
,,31,1.208,0.024,12.633,44.305,17.443,1.035,,,2.837,Saprolite
,,32,1.896,0.029,15.302,39.125,13.553,1.199,,,2.772,Saprolite
,,33,2.181,0.033,16.903,39.026,14.846,1.136,,,2.957,Saprolite
,,34,2.179,0.030,15.867,41.202,12.722,1.182,,,2.745,Saprolite
,,35,0.579,0.014,7.224,38.119,34.504,0.539,,,1.385,Saprolite
,,36,1.419,0.024,12.432,37.736,24.846,1.015,,,2.739,Saprolite
,,37,1.539,0.030,15.148,42.595,15.642,1.096,,,2.688,Saprolite
,,38,1.367,0.017,9.367,41.686,30.950,0.636,,,2.627,Saprolite
,,39,1.296,0.017,9.414,43.690,33.642,0.669,,,2.857,Saprolite
,,40,0.384,0.011,5.937,44.347,36.402,0.372,,,1.380,Bedrock
,,41,0.266,0.013,6.463,41.031,39.158,0.415,,,1.461,Bedrock
,,42,0.242,0.012,6.239,41.736,40.510,0.451,,,1.464,Bedrock
,,43,0.222,0.012,6.069,42.783,41.017,0.488,,,1.773,Bedrock
14,DDG 013,1,0.421,0.090,48.130,1.290,0.249,3.288,,,10.531,Limonite
,,2,0.447,0.091,48.803,1.089,0.129,3.321,,,10.539,Limonite
,,3,0.421,0.085,45.860,1.144,0.117,2.924,,,15.871,Limonite
,,4,0.428,0.083,45.132,1.188,0.310,3.190,,,14.746,Limonite
,,5,0.292,0.065,36.472,1.208,0.622,2.722,,,21.626,Limonite
,,6,0.318,0.075,41.687,1.422,0.232,1.860,,,15.150,Limonite
,,7,0.286,0.067,37.157,1.708,0.548,2.140,,,18.962,Limonite
,,8,0.427,0.065,35.897,1.651,0.124,1.948,,,16.706,Limonite
,,9,0.654,0.074,40.392,1.663,0.476,2.308,,,15.720,Limonite
,,10,0.878,0.091,48.991,2.024,0.852,2.518,,,10.532,Limonite
,,11,0.938,0.091,49.509,1.716,0.006,2.416,,,9.304,Limonite
,,12,0.834,0.089,48.192,1.609,0.153,2.605,,,9.764,Limonite
,,13,0.852,0.090,49.335,1.864,0.136,2.442,,,9.294,Limonite
,,14,0.926,0.092,49.368,2.025,0.321,2.417,,,9.571,Limonite
,,15,0.976,0.094,47.776,1.790,0.152,2.414,,,9.135,Limonite
,,16,1.105,0.091,49.399,2.341,0.393,2.498,,,8.414,Limonite
,,17,1.130,0.091,48.424,2.543,0.808,2.893,,,8.092,Limonite
,,18,1.225,0.093,49.072,2.425,0.195,2.839,,,7.585,Limonite
,,19,1.260,0.103,48.257,2.568,0.259,2.752,,,7.701,Limonite
,,20,1.304,0.102,49.332,4.021,2.891,2.745,,,8.344,Limonite
,,21,1.293,0.092,47.907,2.358,0.346,3.265,,,8.123,Limonite
,,22,1.465,0.091,48.128,3.903,2.250,3.456,,,8.219,Limonite
,,23,1.444,0.086,46.070,2.389,0.779,3.638,,,9.790,Limonite
,,24,1.678,0.091,47.487,3.295,1.351,3.521,,,8.776,Limonite
,,25,1.284,0.089,46.048,2.667,0.426,4.127,,,8.803,Limonite
,,26,1.172,0.102,46.972,2.531,0.181,3.596,,,8.309,Limonite
,,27,1.482,0.100,46.640,2.541,0.252,3.180,,,8.075,Limonite
,,28,1.623,0.095,47.784,2.835,1.029,2.989,,,7.908,Limonite
,,29,1.512,0.097,45.672,4.214,1.844,3.068,,,9.577,Limonite
,,30,1.609,0.106,47.181,3.150,1.295,3.403,,,7.793,Limonite
,,31,2.035,0.119,46.648,2.534,0.222,2.852,,,6.916,Limonite
,,32,1.949,0.102,47.596,2.811,0.459,2.947,,,7.647,Limonite
,,33,2.040,0.108,47.654,2.895,0.610,2.719,,,7.226,Limonite
,,34,2.024,0.096,46.191,2.638,0.698,3.095,,,7.390,Limonite
,,35,1.885,0.115,46.689,2.799,0.906,2.895,,,7.576,Limonite
,,36,1.821,0.135,45.340,3.282,1.530,3.533,,,8.059,Limonite
,,37,1.680,0.125,46.288,3.062,1.252,3.636,,,7.682,Limonite
,,38,0.921,0.094,48.737,2.198,0.320,3.886,,,3.720,Limonite
,,39,1.797,0.119,46.617,2.686,0.433,3.259,,,6.484,Limonite
,,40,1.662,0.122,45.195,3.869,0.685,3.760,,,8.588,Limonite
,,41,1.514,0.119,43.720,5.784,0.641,3.338,,,7.625,Limonite
,,42,1.273,0.141,43.305,4.477,0.772,3.873,,,8.644,Limonite
,,43,1.619,0.146,40.137,8.877,1.373,3.250,,,7.628,Limonite
,,44,2.098,0.053,26.205,27.614,7.174,2.334,,,5.339,Saprolite
,,44,0.936,0.016,8.651,39.654,31.696,0.588,,,2.028,Saprolite
,,45,0.586,0.014,7.111,40.446,34.682,0.511,,,1.886,Saprolite
,,46,1.670,0.040,17.107,32.790,10.702,1.251,,,2.631,Saprolite
,,47,0.379,0.007,8.614,34.098,27.292,0.588,,,2.012,Saprolite
,,48,1.781,0.046,19.697,26.811,10.942,1.346,,,2.968,Saprolite
,,49,0.415,0.004,7.688,34.766,27.973,0.498,,,1.570,Bedrock
,,50,0.370,0.003,7.389,35.926,30.494,0.458,,,1.268,Bedrock
,,51,0.255,0.003,7.443,35.688,33.114,0.456,,,1.473,Bedrock
,,52,0.235,0.003,7.342,32.612,32.462,0.440,,,1.333,Bedrock
,,53,0.230,0.002,7.186,34.930,34.984,0.436,,,1.370,Bedrock
15,DDG 014,1,0.332,0.001,51.309,2.873,1.053,7.909,4.655,0.610,0.094,Limonite
,,2,0.294,0.001,52.309,1.503,0.734,7.864,4.698,0.457,0.074,Limonite
,,3,0.258,0.001,49.296,1.137,0.518,6.963,7.666,0.394,0.077,Limonite
,,4,0.167,0.001,44.009,1.496,0.476,6.786,9.197,0.366,0.074,Limonite
,,5,0.192,0.001,41.871,1.704,0.539,5.520,10.552,0.328,0.071,Limonite
,,6,0.193,0.021,44.611,2.987,0.498,2.932,11.367,0.280,0.060,Limonite
,,7,0.249,0.026,35.474,12.597,0.630,2.430,14.279,0.275,0.050,Limonite
,,8,0.220,0.045,31.222,20.272,0.653,1.108,16.141,0.226,0.041,Limonite
,,9,0.302,0.029,25.023,28.997,0.904,1.238,16.760,0.180,0.074,Limonite
,,10,0.653,0.001,47.972,4.982,0.529,5.182,7.305,0.400,0.062,Limonite
,,11,0.537,0.010,37.050,15.271,0.621,3.463,12.151,0.369,0.072,Limonite
,,12,0.571,0.003,38.651,13.508,0.608,3.454,11.263,0.306,0.077,Limonite
,,13,0.607,0.001,39.482,14.494,0.522,5.421,9.178,0.394,0.097,Limonite
,,14,1.084,0.001,49.364,4.319,0.575,6.416,4.912,0.360,0.068,Limonite
,,15,1.182,0.001,49.004,3.520,0.508,5.012,5.437,0.447,0.055,Limonite
,,16,1.357,0.001,49.689,3.834,0.465,6.201,4.714,0.569,0.065,Limonite
,,17,1.371,0.012,47.996,4.318,0.456,4.573,6.281,0.565,0.053,Limonite
,,18,1.423,0.028,47.996,4.140,0.566,4.442,6.289,0.639,0.053,Limonite
,,19,1.586,0.067,46.712,4.175,0.491,3.842,6.961,0.758,0.057,Limonite
,,20,1.432,0.034,46.245,5.364,0.573,3.972,7.122,0.589,0.062,Limonite
,,21,1.322,0.001,45.895,7.003,0.629,5.100,6.675,0.518,0.059,Limonite
,,22,1.295,0.001,47.913,4.661,0.747,5.118,5.653,0.605,0.056,Limonite
,,23,1.416,0.001,48.520,4.754,0.708,6.263,5.142,0.634,0.072,Limonite
,,24,1.421,0.108,47.035,3.165,0.745,4.171,6.388,1.075,0.071,Limonite
,,25,1.559,0.244,48.310,2.720,0.680,2.965,5.368,1.636,0.043,Limonite
,,26,1.407,0.107,48.025,3.387,0.655,4.152,5.686,1.061,0.051,Limonite
,,27,1.663,0.130,48.224,3.018,0.528,5.032,5.282,1.391,0.068,Limonite
,,28,1.542,0.167,49.797,2.806,0.513,2.874,4.522,1.134,0.040,Limonite
,,29,1.790,0.264,45.632,3.380,0.755,3.504,6.116,1.788,0.084,Limonite
,,30,1.573,0.001,49.837,6.923,0.734,8.065,3.434,0.710,0.088,Limonite
,,31,1.474,0.080,41.122,11.608,1.425,3.445,5.519,0.826,0.103,Limonite
,,32,1.348,0.020,7.130,39.867,25.670,0.765,1.501,0.220,1.883,Saprolite
,,33,3.351,0.030,15.618,43.115,8.792,1.055,1.963,0.287,0.781,Saprolite
,,34,3.099,0.044,21.414,32.657,9.306,1.841,2.465,0.465,0.488,Saprolite
,,35,2.754,0.041,22.854,34.715,5.322,1.911,3.002,0.451,0.597,Saprolite
,,36,2.175,0.082,29.702,29.510,2.984,2.811,3.463,0.948,0.198,Saprolite
,,37,0.520,0.015,6.446,36.160,34.741,0.685,1.475,0.123,1.310,Bedrock
,,38,0.380,0.015,6.133,35.545,35.691,0.663,1.224,0.126,0.954,Bedrock
16,DDG 019,1,1.121,0.096,52.174,1.456,1.894,2.963,,,6.431,Limonite
,,2,1.267,0.111,51.762,1.396,1.557,2.727,,,6.464,Limonite
,,3,1.367,0.117,51.637,1.504,1.585,2.901,,,6.343,Limonite
,,4,1.395,0.119,51.233,1.434,1.389,3.025,,,6.339,Limonite
,,5,1.406,0.115,50.970,1.508,1.373,3.185,,,6.684,Limonite
,,6,1.453,0.122,50.325,1.563,1.495,3.255,,,6.721,Limonite
,,7,1.458,0.134,49.263,1.556,1.756,3.344,,,6.524,Limonite
,,8,1.450,0.132,48.601,1.452,1.326,3.098,,,6.390,Limonite
,,9,1.490,0.130,48.292,1.545,1.834,3.427,,,6.950,Limonite
,,10,1.096,0.097,51.090,1.412,1.161,3.120,,,6.676,Limonite
,,11,0.957,0.095,50.811,1.478,1.452,2.861,,,7.451,Limonite
,,12,0.913,0.092,50.112,1.475,1.473,2.412,,,7.811,Limonite
,,13,1.336,0.113,49.922,1.421,1.110,3.067,,,6.969,Limonite
,,14,0.974,0.112,48.069,2.824,1.542,2.757,,,7.230,Limonite
,,15,1.033,0.125,47.621,3.371,1.656,2.478,,,7.040,Limonite
,,16,1.191,0.110,48.463,2.858,1.652,2.744,,,7.092,Limonite
,,17,1.403,0.095,46.058,4.241,0.779,3.074,,,8.816,Limonite
,,18,1.508,0.108,46.603,3.067,0.758,3.358,,,8.136,Limonite
,,19,1.620,0.134,46.981,3.201,0.729,3.120,,,7.033,Limonite
,,20,2.060,0.031,15.369,32.141,24.012,1.311,,,2.455,Saprolite
,,21,1.791,0.020,9.990,36.635,28.594,0.832,,,1.732,Saprolite
,,22,1.559,0.022,11.348,39.647,31.419,0.940,,,2.026,Saprolite
,,23,1.904,0.026,13.764,32.666,24.096,1.276,,,2.206,Saprolite
,,24,1.651,0.019,10.301,38.906,31.010,0.863,,,2.213,Saprolite
,,25,1.992,0.029,15.406,33.158,22.869,1.241,,,3.409,Saprolite
,,26,2.149,0.039,20.379,28.888,13.299,1.647,,,4.411,Saprolite
,,27,2.154,0.032,16.026,33.752,21.996,1.592,,,3.940,Saprolite
,,28,2.100,0.031,16.574,29.859,16.169,1.978,,,3.434,Saprolite
,,29,2.011,0.027,13.850,30.400,17.034,1.704,,,3.242,Saprolite
,,30,2.144,0.033,17.176,32.889,15.251,1.703,,,3.378,Saprolite
,,31,1.932,0.030,15.317,32.151,16.495,1.597,,,3.113,Saprolite
,,32,0.446,0.013,6.930,40.964,36.033,0.514,,,1.642,Saprolite
,,33,2.173,0.036,18.775,29.741,16.103,1.914,,,3.299,Saprolite
,,34,2.111,0.033,17.240,36.415,10.947,1.319,,,3.635,Saprolite
,,35,1.144,0.021,10.875,34.099,25.535,0.958,,,1.835,Saprolite
,,36,1.769,0.035,17.950,28.888,14.171,1.870,,,3.797,Saprolite
,,37,0.717,0.014,7.524,38.132,34.430,0.379,,,1.339,Saprolite
,,38,0.322,0.014,7.011,37.408,43.575,0.105,,,0.632,Saprolite
,,39,0.622,0.013,6.879,37.533,33.928,0.491,,,1.385,Saprolite
,,40,0.649,0.013,6.861,38.141,32.879,0.530,,,1.496,Saprolite
,,41,0.765,0.015,7.739,37.291,30.515,0.647,,,1.681,Saprolite
,,42,1.557,0.026,13.748,38.370,12.670,1.233,,,3.429,Saprolite
,,43,0.361,0.013,6.608,40.348,37.107,0.453,,,1.589,Saprolite
,,44,0.424,0.013,6.699,39.304,35.347,0.457,,,1.598,Saprolite
,,45,2.220,0.030,15.640,34.766,19.655,1.245,,,3.258,Saprolite
,,46,2.692,0.033,17.009,33.308,18.356,1.536,,,3.509,Saprolite
,,47,3.344,0.031,16.485,33.763,17.865,1.140,,,3.271,Saprolite
,,48,0.456,0.013,6.724,41.000,37.530,0.456,,,1.574,Saprolite
,,49,0.366,0.013,6.375,39.453,36.450,0.450,,,1.566,Saprolite
,,50,2.225,0.025,13.133,33.183,22.825,0.941,,,2.162,Saprolite
,,51,0.300,0.012,6.049,39.164,36.625,0.439,,,1.432,Bedrock
,,52,0.271,0.012,6.048,41.005,39.449,0.433,,,1.349,Bedrock
17,DDG 020,1,0.339,0.077,52.515,0.502,1.191,3.856,,,7.428,Limonite
,,2,0.404,0.079,52.906,0.804,1.009,3.454,,,7.279,Limonite
,,3,0.618,0.086,51.630,0.850,1.462,3.309,,,8.211,Limonite
,,4,0.524,0.080,49.812,0.935,1.517,3.121,,,9.300,Limonite
,,5,0.574,0.083,50.788,0.948,1.323,2.831,,,8.549,Limonite
,,6,0.774,0.089,51.720,1.020,1.605,2.994,,,8.092,Limonite
,,7,0.417,0.076,45.539,0.823,1.176,2.102,,,9.060,Limonite
,,8,0.772,0.092,50.966,0.711,1.220,2.914,,,8.033,Limonite
,,9,0.828,0.092,50.521,0.771,1.237,3.173,,,8.273,Limonite
,,10,0.755,0.090,50.632,1.649,3.632,3.555,,,7.742,Limonite
,,11,0.784,0.088,51.369,0.836,1.197,3.409,,,7.705,Limonite
,,12,1.101,0.087,51.879,1.622,1.330,3.155,,,6.348,Limonite
,,13,1.427,0.093,54.374,1.476,1.090,2.149,,,5.841,Limonite
,,14,1.425,0.092,53.502,1.457,1.285,2.274,,,6.248,Limonite
,,15,1.483,0.096,52.704,1.573,1.034,2.475,,,5.840,Limonite
,,16,1.435,0.098,52.730,1.403,0.849,2.538,,,5.967,Limonite
,,17,1.317,0.085,50.804,1.414,1.169,3.533,,,6.234,Limonite
,,18,1.277,0.095,52.436,1.561,1.179,2.912,,,5.695,Limonite
,,19,1.434,0.105,52.295,1.291,0.924,2.572,,,5.701,Limonite
,,20,1.446,0.114,53.237,1.668,1.315,2.320,,,4.915,Limonite
,,21,1.525,0.126,51.401,1.566,0.930,2.782,,,5.931,Limonite
,,22,1.177,0.121,50.490,1.788,1.547,3.075,,,6.270,Limonite
,,23,1.389,0.106,50.515,2.371,2.287,3.300,,,6.291,Limonite
,,24,1.479,0.118,50.141,1.769,1.486,2.682,,,6.352,Limonite
,,25,1.374,0.123,50.243,1.621,1.151,3.755,,,5.999,Limonite
,,26,1.461,0.106,49.497,1.759,1.851,3.178,,,6.658,Limonite
,,27,1.516,0.110,49.821,1.597,1.521,3.093,,,6.489,Limonite
,,28,1.438,0.104,49.613,3.129,4.015,2.999,,,6.204,Limonite
,,29,1.588,0.127,49.274,1.923,2.001,3.530,,,5.901,Limonite
,,30,1.380,0.128,47.863,2.134,1.360,4.047,,,6.399,Limonite
,,31,1.081,0.188,44.804,1.714,1.245,4.272,,,6.771,Limonite
,,32,1.074,0.462,22.328,1.175,1.567,2.086,,,8.792,Limonite
,,33,1.129,0.381,25.875,3.522,2.662,1.666,,,8.591,Limonite
,,34,0.973,0.421,21.265,2.615,1.784,1.777,,,10.607,Limonite
,,35,1.216,0.459,31.955,1.663,1.705,1.915,,,3.900,Limonite
,,36,1.226,0.417,35.978,6.815,1.715,2.959,,,6.217,Limonite
,,37,1.328,0.315,38.764,9.132,1.876,1.830,,,4.627,Limonite
,,38,0.795,0.115,36.780,15.670,2.527,2.426,,,7.378,Limonite
,,39,0.896,0.119,36.261,18.441,2.530,2.280,,,6.207,Limonite
,,40,1.896,0.079,26.955,27.967,4.709,1.877,,,4.276,Saprolite
,,41,2.354,0.058,21.854,31.544,7.307,1.430,,,3.322,Saprolite
,,42,1.756,0.044,19.123,30.465,10.904,1.526,,,3.262,Saprolite
,,43,2.356,0.057,20.912,30.858,10.907,1.376,,,3.509,Saprolite
,,44,2.537,0.033,15.612,35.790,13.832,1.135,,,2.428,Saprolite
,,45,1.699,0.031,14.628,33.647,12.844,1.100,,,2.317,Saprolite
,,46,1.983,0.046,19.217,28.930,9.779,1.726,,,2.674,Saprolite
,,47,1.455,0.078,25.725,23.141,8.046,2.503,,,4.051,Saprolite
,,48,1.040,0.070,24.748,29.970,4.910,1.955,,,4.015,Saprolite
,,49,1.181,0.080,35.435,16.802,3.635,2.565,,,5.511,Saprolite
,,50,1.438,0.092,30.685,20.164,4.339,2.580,,,4.163,Saprolite
,,51,2.133,0.051,19.423,26.945,8.324,1.507,,,2.807,Saprolite
,,52,0.986,0.013,10.126,32.367,22.550,0.761,,,1.873,Bedrock
,,53,0.472,0.005,8.061,32.120,27.964,0.516,,,1.618,Bedrock
18,DDG 021,1,0.233,0.071,54.245,1.061,1.442,2.921,,,6.552,Limonite
,,2,0.192,0.068,54.046,0.383,1.055,2.849,,,8.262,Limonite
,,3,0.157,0.064,51.593,0.258,1.268,2.222,,,10.706,Limonite
,,4,0.230,0.062,45.560,0.708,1.167,2.382,,,11.062,Limonite
,,5,0.245,0.062,44.334,1.030,0.951,2.164,,,10.808,Limonite
,,6,0.207,0.048,35.576,7.128,1.230,1.637,,,15.960,Limonite
,,7,0.216,0.045,32.089,17.895,1.002,1.374,,,16.157,Limonite
,,8,0.227,0.045,31.776,16.769,1.136,1.488,,,15.571,Limonite
,,9,0.440,0.077,47.875,3.480,1.172,2.855,,,9.951,Limonite
,,10,0.514,0.082,49.858,0.396,1.202,3.308,,,8.089,Limonite
,,11,0.482,0.075,48.242,2.333,1.187,3.170,,,9.816,Limonite
,,12,0.800,0.086,52.346,1.062,1.218,2.524,,,8.299,Limonite
,,13,0.868,0.083,51.443,1.067,0.850,2.520,,,7.012,Limonite
,,14,0.962,0.083,53.199,1.664,1.116,2.503,,,6.695,Limonite
,,15,0.925,0.081,51.269,1.545,1.279,2.680,,,7.212,Limonite
,,16,1.005,0.084,52.321,1.999,1.127,2.557,,,6.608,Limonite
,,17,0.875,0.080,52.780,2.044,1.122,2.779,,,6.330,Limonite
,,18,1.161,0.081,50.202,1.738,1.203,3.704,,,6.000,Limonite
,,19,1.293,0.086,51.683,1.972,1.356,3.049,,,5.756,Limonite
,,20,1.394,0.088,52.910,1.743,0.947,2.934,,,5.150,Limonite
,,21,1.461,0.090,53.334,1.881,1.190,2.714,,,5.546,Limonite
,,22,1.244,0.084,51.204,1.716,1.051,3.037,,,6.201,Limonite
,,23,1.181,0.084,50.859,1.902,1.229,2.540,,,6.729,Limonite
,,24,0.815,0.090,51.857,2.069,1.257,3.649,,,6.280,Limonite
,,25,1.191,0.092,52.524,2.129,0.998,3.304,,,5.409,Limonite
,,26,1.200,0.102,52.140,2.445,1.908,2.951,,,5.841,Limonite
,,27,1.177,0.166,48.116,2.687,1.701,2.816,,,6.805,Limonite
,,28,1.346,0.133,41.304,11.045,1.534,2.607,,,5.358,Limonite
,,29,1.269,0.098,36.629,19.042,1.629,2.351,,,5.794,Limonite
,,30,0.850,0.127,38.818,14.495,1.874,2.890,,,5.576,Limonite
,,31,1.940,0.102,36.898,14.196,3.525,2.785,,,4.618,Saprolite
,,32,2.200,0.072,27.459,20.995,6.009,1.967,,,3.392,Saprolite
,,33,1.201,0.020,11.970,30.966,19.699,0.882,,,2.107,Saprolite
,,34,1.889,0.035,16.054,36.663,12.635,1.005,,,2.748,Saprolite
,,35,2.521,0.053,21.542,30.080,8.718,1.295,,,3.407,Saprolite
,,36,2.219,0.031,14.729,36.430,15.056,0.943,,,2.220,Saprolite
,,37,1.949,0.039,17.134,34.838,12.090,1.066,,,2.267,Saprolite
,,38,1.835,0.037,16.592,31.949,12.728,1.205,,,2.318,Saprolite
,,39,0.470,0.005,8.201,33.107,30.261,0.531,,,1.602,Bedrock
,,40,0.350,0.003,7.442,36.024,32.408,0.502,,,1.609,Bedrock
19,DDG 028,1,0.286,0.072,50.579,0.673,1.098,3.267,,,10.040,Limonite
,,2,0.278,0.065,45.758,0.919,1.900,3.170,,,11.443,Limonite
,,3,0.467,0.077,48.152,0.401,1.139,3.561,,,9.535,Limonite
,,4,0.655,0.082,49.243,0.756,1.084,2.521,,,8.710,Limonite
,,5,0.549,0.074,45.752,0.826,1.146,2.524,,,9.472,Limonite
,,6,0.907,0.086,51.109,1.036,1.111,3.217,,,7.078,Limonite
,,7,1.059,0.089,53.648,1.557,1.674,2.609,,,6.320,Limonite
,,8,1.262,0.089,53.898,1.613,1.499,2.899,,,5.978,Limonite
,,9,1.321,0.089,53.067,1.568,1.265,2.406,,,6.060,Limonite
,,10,1.285,0.087,51.071,2.280,2.930,2.331,,,6.774,Limonite
,,11,1.374,0.088,52.089,1.700,1.375,2.686,,,5.764,Limonite
,,12,1.400,0.087,52.440,1.835,1.522,2.692,,,6.320,Limonite
,,13,1.309,0.087,53.084,2.083,1.648,2.521,,,5.904,Limonite
,,14,1.141,0.085,51.941,1.756,1.272,2.915,,,5.847,Limonite
,,15,1.402,0.090,52.758,1.612,1.153,2.482,,,5.674,Limonite
,,16,1.422,0.089,50.928,1.498,1.110,2.330,,,5.913,Limonite
,,17,1.649,0.094,51.228,1.527,1.137,3.287,,,6.385,Limonite
,,18,1.445,0.100,53.184,1.622,1.185,2.435,,,6.288,Limonite
,,19,1.398,0.091,51.853,1.798,1.221,3.211,,,6.123,Limonite
,,20,1.228,0.095,51.624,1.537,1.417,2.570,,,6.427,Limonite
,,21,1.505,0.111,49.803,1.522,1.215,3.133,,,6.395,Limonite
,,22,1.449,0.097,52.545,2.047,1.617,2.911,,,5.663,Limonite
,,23,1.185,0.091,52.135,2.502,1.375,2.474,,,5.578,Limonite
,,24,1.457,0.119,48.381,3.549,1.252,3.482,,,6.727,Limonite
,,25,1.105,0.088,49.586,1.401,1.226,3.316,,,7.124,Limonite
,,26,1.227,0.098,52.840,1.544,1.353,2.456,,,6.035,Limonite
,,27,1.509,0.100,50.913,2.161,0.956,3.127,,,6.252,Limonite
,,28,1.340,0.119,50.559,2.040,1.183,2.567,,,5.635,Limonite
,,29,1.539,0.162,48.709,2.134,1.032,2.699,,,5.812,Limonite
