X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,16,1.453,0.064,27.212,16.576,8.856,2.255,,,4.096,Saprolite
,,17,1.608,0.063,25.432,19.563,11.076,2.021,,,2.859,Saprolite
,,18,0.454,0.004,7.711,33.902,33.307,0.444,,,1.285,Saprolite
,,19,0.263,0.002,7.174,36.047,33.647,0.482,,,1.509,Saprolite
,,20,0.463,0.010,9.374,42.944,20.401,0.595,,,1.734,Saprolite
,,21,0.286,0.003,7.584,33.515,30.842,0.467,,,1.681,Saprolite
,,22,1.901,0.043,17.583,30.676,12.495,1.063,,,3.111,Saprolite
,,23,0.459,0.003,7.544,35.004,29.192,0.494,,,1.467,Bedrock
,,24,0.239,0.002,7.295,36.198,36.427,0.390,,,1.365,Bedrock
5,DDG 004,1,0.853,0.093,46.859,2.826,2.750,2.673,,,11.200,Limonite
,,2,0.987,0.096,48.023,2.316,0.693,2.521,,,10.030,Limonite
,,3,1.033,0.098,48.389,2.653,1.415,2.815,,,9.397,Limonite
,,4,1.104,0.098,48.377,2.769,1.754,2.784,,,9.619,Limonite
,,5,1.161,0.099,48.368,2.149,0.159,2.502,,,8.789,Limonite
,,6,1.112,0.102,48.207,2.574,0.397,2.879,,,8.214,Limonite
,,7,1.245,0.097,48.203,2.700,0.446,3.148,,,7.781,Limonite
,,8,1.493,0.092,45.569,2.711,1.003,5.012,,,7.787,Limonite
,,9,1.682,0.106,46.498,2.810,0.662,3.503,,,8.328,Limonite
,,10,1.736,0.100,45.989,4.160,1.033,3.000,,,7.839,Limonite
,,11,1.714,0.102,45.821,4.934,0.897,2.953,,,9.121,Limonite
,,12,1.429,0.139,38.444,11.494,0.747,2.495,,,8.461,Limonite
,,13,1.442,0.116,36.685,16.326,1.043,2.522,,,8.249,Limonite
,,14,1.251,0.095,44.607,6.169,0.674,4.153,,,9.349,Limonite
,,15,1.276,0.100,41.851,10.710,0.671,3.246,,,8.897,Limonite
,,16,1.024,0.082,35.556,20.165,1.876,2.665,,,8.202,Limonite
,,17,1.068,0.088,45.198,8.634,0.985,3.412,,,10.149,Limonite
,,18,1.189,0.087,40.857,13.528,0.797,3.391,,,8.218,Limonite
,,19,0.983,0.083,39.878,13.981,0.788,3.474,,,9.188,Limonite
,,20,0.976,0.091,30.376,30.256,1.420,2.598,,,8.387,Limonite
,,21,1.095,0.085,40.117,13.986,1.437,3.814,,,8.970,Limonite
,,22,0.264,0.012,6.276,41.969,39.955,0.435,,,1.793,Saprolite
,,23,1.276,0.054,22.898,34.904,5.536,2.088,,,5.179,Saprolite
,,24,0.623,0.044,19.515,49.205,3.030,1.464,,,4.562,Saprolite
,,25,0.428,0.028,10.702,66.710,3.807,0.761,,,2.700,Saprolite
,,26,1.212,0.037,19.040,33.241,11.993,2.196,,,7.544,Saprolite
,,27,0.268,0.013,6.762,41.367,41.313,0.403,,,1.470,Saprolite
,,28,0.618,0.029,14.119,29.787,15.931,1.927,,,4.297,Saprolite
,,29,0.263,0.013,6.632,42.277,41.100,0.444,,,1.570,Saprolite
,,30,0.216,0.012,5.835,37.474,35.862,0.403,,,1.425,Saprolite
,,31,1.840,0.038,19.343,33.483,10.306,1.900,,,4.183,Saprolite
,,32,1.306,0.031,15.541,34.338,11.136,1.604,,,3.774,Saprolite
,,33,0.230,0.012,6.203,40.448,40.142,0.388,,,1.481,Saprolite
,,34,0.615,0.016,8.331,37.527,27.878,0.684,,,1.775,Bedrock
,,35,0.243,0.013,6.443,40.186,37.023,0.449,,,1.502,Bedrock
,,36,0.225,0.013,6.359,39.942,38.706,0.422,,,1.345,Bedrock
,,37,0.413,0.013,6.590,44.397,29.272,0.462,,,1.328,Bedrock
,,38,0.617,0.017,9.160,50.590,16.096,0.582,,,1.712,Bedrock
,,39,0.284,0.013,6.593,39.654,33.252,0.469,,,1.552,Bedrock
,,40,0.219,0.012,6.193,41.251,38.998,0.414,,,1.738,Bedrock
6,DDG 005,1,0.307,0.067,43.391,7.517,2.929,2.219,,,13.338,Limonite
,,2,0.478,0.064,38.384,9.157,2.253,1.930,,,14.171,Limonite
,,3,0.792,0.084,47.240,2.887,1.143,2.572,,,10.127,Limonite
,,4,0.790,0.090,47.658,2.699,1.735,2.486,,,9.373,Limonite
,,5,0.869,0.096,50.683,1.817,2.006,2.469,,,7.644,Limonite
,,6,0.849,0.098,52.371,1.602,1.793,2.362,,,7.670,Limonite
,,7,0.873,0.099,51.499,1.705,1.129,2.490,,,7.400,Limonite
